,osmid,y,x,highway,street_count,row,column,land_price,pop,private_cs,I1_max,upper_bound
418,1707850226,21.014199,105.834042,,4,None,None,138.863,101.491,0.0,32,0.0023044295456673123
419,2291064326,21.0143481,105.8341558,,4,None,None,138.863,101.491,0.0,31,0.0022324161223652088
420,11278791052,21.0140474,105.8338904,,3,None,None,74.986,222.668,0.0,36,0.004800896167284559
421,1884805093,20.9978347,105.8404852,,3,None,None,84.6375,60.967,0.0,27,0.0031900753212228622
422,1884807237,21.0008729,105.84123,,3,None,None,84.6375,53.758,0.0,31,0.003662679072515138
423,5285531239,20.9988484,105.8377772,,3,None,None,84.6375,208.902,0.0,34,0.004017131885984345
424,4599745013,20.9991174,105.8364845,,3,None,None,84.6375,28.448,0.0,26,0.0030719243833997934
425,4608169674,20.999195,105.8360086,,3,None,None,84.6375,231.037,0.0,21,0.002481169694284448
426,1495022984,21.0012407,105.834804,,4,None,None,159.142833,249.196,0.0,20,0.0012567326861650126
427,104783040,21.0015565,105.8360583,,3,None,None,84.6375,334.686,0.0,21,0.002481169694284448
428,104782500,21.0034138,105.8360473,traffic_signals,4,None,None,159.142833,383.304,0.0,24,0.001508079223398015
429,1497969866,21.0036744,105.8370455,,3,None,None,84.6375,362.819,0.0,21,0.002481169694284448
430,2294884824,21.0037912,105.8375076,,3,None,None,84.6375,347.499,0.0,22,0.0025993206321075174
431,5686449795,21.000258,105.8376052,,3,None,None,84.6375,359.439,0.0,36,0.004253433761630483
432,5686449796,21.0002775,105.8366105,,3,None,None,84.6375,99.807,0.0,25,0.002953773445576724
433,5686449798,21.0005091,105.8365934,,3,None,None,84.6375,99.807,0.0,25,0.002953773445576724
434,5686449799,21.0006823,105.8365999,,1,None,None,57.243333,99.807,0.0,24,0.00419262798691334
435,7144483007,20.9988543,105.8374806,,3,None,None,84.6375,114.367,0.0,32,0.003780830010338207
436,11993550617,20.998656,105.8374311,,3,None,None,84.6375,114.367,0.0,32,0.003780830010338207
