node_id,matrix_idx,lat,lng,street_count
81804024,0,21.0272036,105.8357768,3
81804025,1,21.0277521,105.8342281,5
81805393,2,21.0088234,105.82426,3
81806535,3,21.01906,105.8305102,3
98024382,4,21.0096135,105.8380906,3
98024920,5,21.0107386,105.8367231,3
98025729,6,21.009484,105.837589,4
98025738,7,21.0100165,105.835844,3
98026475,8,21.0064882,105.8316381,3
98031401,9,21.0212268,105.8258037,4
98032470,10,21.0287574,105.8318238,4
98032476,11,21.0295689,105.8273507,6
98034543,12,21.0148285,105.8136905,3
98035469,13,21.0180869,105.8117585,4
98035472,14,21.0198315,105.8083104,5
98041254,15,21.0156576,105.8049378,4
98041851,16,21.0154716,105.8051475,4
98042270,17,21.0226339,105.8099209,3
103060015,18,21.0287371,105.8364437,3
103060021,19,21.0281474,105.8391643,3
103060023,20,21.0277838,105.8404146,3
103061231,21,21.0291554,105.8352087,3
103062630,22,21.0259862,105.8380997,3
103066330,23,21.0267578,105.8385407,3
104777991,24,21.0211537,105.8350263,3
104782500,25,21.0034138,105.8360473,4
104783040,26,21.0015565,105.8360583,3
104783042,27,21.0061472,105.8352445,3
104783045,28,21.0083505,105.8338348,3
104838744,29,21.0115123,105.8307084,3
104838745,30,21.0122096,105.8292725,3
104839740,31,21.0110954,105.8307755,3
104839741,32,21.0113157,105.831076,3
106080712,33,21.0225723,105.8001907,3
106108910,34,21.0179988,105.8241401,4
106108917,35,21.0165348,105.8232227,3
106109203,36,21.0153629,105.824904,3
106109210,37,21.0163032,105.8233283,3
106109440,38,21.0162416,105.8228924,3
106109949,39,21.0162242,105.8222877,1
106111360,40,21.0146258,105.8177309,3
106111364,41,21.0124282,105.8206704,3
106111365,42,21.0120825,105.8211088,3
283127113,43,21.0200259,105.8377091,3
283136105,44,21.0123792,105.8391601,3
283136366,45,21.0135226,105.8338457,1
283136429,46,21.0126973,105.8324889,4
283137293,47,21.012374,105.83229,3
283137352,48,21.0105372,105.8329664,3
283137537,49,21.0108629,105.8279393,3
283137982,50,21.011869,105.8317114,3
283138280,51,21.012083,105.817155,4
283140539,52,21.0169709,105.8066648,3
283140585,53,21.0165211,105.8108098,3
283140736,54,21.0186317,105.8107175,3
283141149,55,21.0174511,105.8121066,3
283141150,56,21.0166695,105.8116483,3
283141151,57,21.0161906,105.8113377,3
283141250,58,21.0176112,105.8118291,4
283141251,59,21.0170772,105.8115215,4
283141482,60,21.0203603,105.8072926,3
283141487,61,21.0185426,105.8038896,2
283141507,62,21.0155057,105.8094024,3
283141646,63,21.0234259,105.8036281,4
283141649,64,21.0235924,105.8054028,3
309595498,65,21.0276475,105.8248143,3
309595522,66,21.0294135,105.827209,3
309653659,67,21.0262322,105.827496,4
309666164,68,21.0189506,105.8395173,3
309816682,69,21.0227257,105.8097448,4
309816683,70,21.0199171,105.8081414,4
317968694,71,21.0262479,105.8335221,3
317968698,72,21.0270872,105.8304924,1
317968700,73,21.0262411,105.832603,3
317968702,74,21.0281154,105.833445,3
317968719,75,21.0284272,105.8326573,3
317968749,76,21.0265264,105.8318917,3
317968817,77,21.019088,105.8371473,3
317968979,78,21.0242642,105.8395402,3
317969015,79,21.0215521,105.8375347,3
318258352,80,21.0115377,105.8372493,3
318258663,81,21.0150273,105.8278801,4
318258667,82,21.0142191,105.8293572,1
318259513,83,21.0156257,105.8229104,3
318259517,84,21.0150856,105.8241854,4
318259519,85,21.0151849,105.8229349,1
318259522,86,21.014417,105.8236237,3
318259528,87,21.0135345,105.8225238,4
318259614,88,21.0155657,105.8245191,4
318259616,89,21.0165492,105.8251477,4
318259617,90,21.0163551,105.8250321,3
318259620,91,21.0168577,105.8246077,3
318259621,92,21.0166174,105.8244825,3
318259622,93,21.0164709,105.8244042,3
318259623,94,21.0162848,105.8243047,3
318259625,95,21.0159715,105.8244025,1
318259626,96,21.0163781,105.823586,1
318259627,97,21.0165631,105.8237429,1
318259628,98,21.0167517,105.8238652,1
318259629,99,21.0165139,105.8246851,3
319490598,100,21.008788,105.8316582,3
319490613,101,21.0170993,105.8309465,3
319490620,102,21.0096613,105.8331474,3
320236975,103,21.0161635,105.8249146,3
320236984,104,21.015934,105.8263639,3
320236991,105,21.0170785,105.8270342,3
320237777,106,21.0183198,105.8263958,4
320503734,107,21.0131278,105.8126081,3
322505288,108,21.029207,105.8319699,3
322505292,109,21.0295805,105.8336065,3
322505294,110,21.0252794,105.8330833,4
322505295,111,21.0258355,105.8315616,1
322505711,112,21.0115962,105.8373115,4
324286144,113,21.0279427,105.8361111,3
324286145,114,21.0274354,105.8375424,1
324286196,115,21.0072345,105.8348649,3
324286216,116,21.0234112,105.8062166,3
420456568,117,21.0265314,105.798635,4
420456583,118,21.0240783,105.7983321,3
420456595,119,21.021622,105.8008861,3
420456598,120,21.0203349,105.8016199,4
420456615,121,21.0155553,105.8048245,4
420456642,122,21.009105,105.8137588,3
420456683,123,21.005215,105.8169541,4
420457653,124,21.0294,105.802296,3
420460217,125,21.0032768,105.8192561,3
420522002,126,21.0158799,105.8046743,3
420522025,127,21.0264564,105.7987959,3
421080868,128,21.018268,105.8298683,4
422619751,129,21.0264119,105.8398689,3
428673752,130,21.0179964,105.8296877,4
428673758,131,21.0109782,105.8370646,4
436170722,132,21.0041897,105.8412431,4
442572693,133,21.0097637,105.8381811,3
442982542,134,21.0193064,105.8338068,3
442990707,135,21.0177194,105.8031972,3
443147561,136,21.0150817,105.8055062,3
443147564,137,21.0161234,105.8061252,3
444874857,138,21.0109719,105.8109915,4
444874859,139,21.0163706,105.81468,3
444875109,140,21.01074,105.8110704,4
444875374,141,21.0108542,105.8109049,4
445970096,142,21.022117,105.826251,3
445970097,143,21.0262688,105.8231844,3
445970127,144,21.0241688,105.8269312,3
445970799,145,21.016959,105.8290405,3
445970804,146,21.0189434,105.8267419,3
445970812,147,21.0175108,105.8293644,3
445971215,148,21.0207171,105.8088205,3
445971601,149,21.0177554,105.8115591,3
445971608,150,21.0126496,105.809763,1
446009106,151,21.0130607,105.8127094,3
446009107,152,21.014722,105.8138094,3
446030797,153,21.0137777,105.8188893,4
448838032,154,21.0108582,105.8111578,4
733429120,155,21.0153596,105.8050339,4
1000087640,156,21.02013,105.8375214,3
1104490487,157,21.0172221,105.8310576,3
1312645242,158,21.0157223,105.8089892,3
1314203096,159,21.0237364,105.8202039,3
1314203102,160,21.0234017,105.8198723,4
1314209677,161,21.0288185,105.8348712,3
1314209683,162,21.0292001,105.8351408,4
1314209691,163,21.0091472,105.8248463,3
1314209697,164,21.0277474,105.8341305,4
1314209698,165,21.0063287,105.8311553,4
1314209699,166,21.0092517,105.8242748,4
1314209704,167,21.0253066,105.8330075,4
1314209709,168,21.0057479,105.8225293,4
1314209710,169,21.0119663,105.82105,3
1314209713,170,21.0259561,105.8333085,4
1314209715,171,21.0286941,105.8318088,4
1314209716,172,21.0048876,105.8221002,3
1314209717,173,21.0089148,105.824108,3
1314209721,174,21.0106684,105.8250728,3
1314209723,175,21.0134918,105.8268687,3
1494035427,176,21.0067615,105.8231971,3
1494035973,177,21.005964,105.822243,3
1494035975,178,21.0139064,105.8149299,3
1494041345,179,21.0030372,105.8209319,3
1494041351,180,21.003419,105.8193971,3
1494041352,181,21.0033732,105.8207826,3
1494041366,182,21.0044283,105.818031,3
1494041374,183,21.0048548,105.8223217,3
1495020912,184,21.0092908,105.8244986,4
1495020922,185,21.0131287,105.8197568,3
1495022752,186,21.007045,105.8413254,3
1495022756,187,21.0076693,105.8407052,3
1495022762,188,21.0087937,105.8413355,3
1495022984,189,21.0012407,105.834804,4
1495023340,190,21.0070673,105.8295224,3
1495023371,191,21.008217,105.8203154,3
1495025257,192,21.0152713,105.8141546,3
1497527957,193,21.015375,105.8200999,4
1497544651,194,21.0130486,105.8358343,1
1497544669,195,21.0150609,105.8278134,4
1497544689,196,21.0168256,105.8304965,1
1497544719,197,21.0182565,105.8294809,4
1497544721,198,21.0184174,105.828623,3
1497544736,199,21.0187503,105.8301359,4
1497544738,200,21.0189958,105.8300399,4
1497544749,201,21.0192399,105.8302912,3
1497544764,202,21.0208954,105.830986,4
1497544774,203,21.0214207,105.8313166,3
1497544796,204,21.0234448,105.8321545,4
1497544831,205,21.0250219,105.8337883,1
1497544849,206,21.0278309,105.8341732,4
1497961283,207,21.0078235,105.8402267,3
1497961292,208,21.0106055,105.8365444,3
1497964601,209,21.0102091,105.8378157,3
